edad,genero,ocupacion,estadoCivil,realizaPractica,jornadaCLases,anioAcademico,expAnsiedad,periodoAnsiedad,c_cantidadEvaluaciones,c_multitudTareas,c_exposicionesConferencias,c_intervencionAula,c_ambienteDesagradable,c_trabajosPlazo,c_trabajosGrupo,influenciaEnRendimiento,e_cansancio,e_dificultadDormir,e_noConsideracion,e_irritabilidadExcesiva,e_escasaConfianzaPropia,e_sensacionDeInutilidad,e_faltaDeEntusiasmo,e_noControl,e_preocupacionExcesiva,e_dificultadConsentracion,e_olvidosFrecuentes,e_aislamiento,e_escasoDesempeno,e_dificultadAceptarResp,e_mantenerRespon,e_abandonarClases
19 - 22 años,Mujer,Ambas,Soltero,No,Mixta Vespertina - Nocturna,2do año,Sí,En los examenes y proyectos finales,Ni de acuerdo ni en desacuerdo,En desacuerdo,De acuerdo,De acuerdo,Muy en desacuerdo,Muy en desacuerdo,Ni de acuerdo ni en desacuerdo,Disminuye,De acuerdo,Muy de acuerdo,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo
19 - 22 años,Mujer,Estudio,Soltero,No,Mixta Matutina - Vespertina,3er año,Sí,En los examenes y proyectos finales,En desacuerdo,Muy en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,Disminuye,Ni de acuerdo ni en desacuerdo,Muy de acuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Muy en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo
19 - 22 años,Hombre,Estudio,Soltero,No,Matutina,3er año,No,En los examenes y proyectos finales,Muy de acuerdo,Muy de acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Disminuye,Muy de acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo
23 - 26 años,Mujer,Estudio,Soltero,No,Mixta Vespertina - Nocturna,ultimo año,Sí,En los examenes y proyectos finales,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Aumenta,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy en desacuerdo
19 - 22 años,Mujer,Estudio,Soltero,No,Mixta Matutina - Vespertina,4to año,Sí,En los examenes y proyectos finales,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,Muy en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Disminuye,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,Muy en desacuerdo,En desacuerdo
19 - 22 años,Hombre,Estudio,Soltero,No,Vespertina,2do año,Sí,En los examenes y proyectos finales,Muy de acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Muy de acuerdo,De acuerdo,Disminuye,De acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo
19 - 22 años,Mujer,Estudio,Soltero,No,Mixta Matutina - Vespertina,3er año,No,Al final de cada parcial,Muy de acuerdo,Muy de acuerdo,De acuerdo,En desacuerdo,En desacuerdo,Muy de acuerdo,De acuerdo,Se mantiene,De acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,En desacuerdo,En desacuerdo,En desacuerdo
19 - 22 años,Mujer,Estudio,Soltero,No,Matutina,2do año,Sí,En los examenes y proyectos finales,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,Se mantiene,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Muy de acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo
19 - 22 años,Mujer,Estudio,Soltero,No,Mixta Matutina - Vespertina,2do año,Sí,Al final de cada parcial,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Muy de acuerdo,Muy en desacuerdo,Ni de acuerdo ni en desacuerdo,Disminuye,De acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo
23 - 26 años,Mujer,Estudio,Soltero,No,Mixta Matutina - Vespertina,4to año,Sí,Al final de cada parcial,Muy de acuerdo,Muy de acuerdo,En desacuerdo,En desacuerdo,De acuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,Disminuye,Muy de acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo
23 - 26 años,Mujer,Estudio,Soltero,No,Mixta Matutina - Vespertina,ultimo año,Sí,En los examenes y proyectos finales,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Se mantiene,Ni de acuerdo ni en desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Muy en desacuerdo
27 - 30 años,Hombre,Ambas,Casado,No,Mixta Vespertina - Nocturna,3er año,Sí,Al final de cada parcial,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Se mantiene,De acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo
19 - 22 años,Hombre,Estudio,Soltero,No,Mixta Matutina - Vespertina,2do año,Sí,En los examenes y proyectos finales,Muy de acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,Se mantiene,Muy de acuerdo,En desacuerdo,Muy en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Muy en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Muy de acuerdo
19 - 22 años,Hombre,Estudio,Otro,No,Mixta Matutina - Vespertina,2do año,Sí,En los examenes y proyectos finales,Ni de acuerdo ni en desacuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,En desacuerdo,Muy en desacuerdo,Ni de acuerdo ni en desacuerdo,Disminuye,De acuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo
19 - 22 años,Mujer,Estudio,Soltero,No,Mixta Matutina - Vespertina,4to año,Sí,Al final de cada parcial,De acuerdo,Muy de acuerdo,Muy en desacuerdo,Muy en desacuerdo,Ni de acuerdo ni en desacuerdo,Muy de acuerdo,Muy de acuerdo,Aumenta,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy en desacuerdo,Muy de acuerdo,En desacuerdo
27 - 30 años,Hombre,Estudio,Casado,No,Mixta Matutina - Vespertina,3er año,Sí,Al final de cada parcial,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,Muy de acuerdo,Se mantiene,De acuerdo,Muy de acuerdo,En desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Ni de acuerdo ni en desacuerdo,Muy en desacuerdo,En desacuerdo,En desacuerdo,Muy en desacuerdo,En desacuerdo,En desacuerdo
23 - 26 años,Mujer,Estudio,Soltero,No,Mixta Vespertina - Nocturna,3er año,Sí,Al final de cada parcial,Muy de acuerdo,Muy de acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,Aumenta,Muy de acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,Muy de acuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo
23 - 26 años,Hombre,Trabajo,Soltero,No,Mixta Matutina - Vespertina,ultimo año,Sí,En los examenes y proyectos finales,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,De acuerdo,Aumenta,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo
19 - 22 años,Hombre,Estudio,Otro,No,Mixta Matutina - Vespertina,3er año,No,En los examenes y proyectos finales,En desacuerdo,En desacuerdo,Muy de acuerdo,Muy de acuerdo,Muy en desacuerdo,Muy en desacuerdo,De acuerdo,Se mantiene,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Muy en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo
19 - 22 años,Hombre,Estudio,Soltero,No,Mixta Matutina - Vespertina,3er año,Sí,En los examenes y proyectos finales,Ni de acuerdo ni en desacuerdo,En desacuerdo,De acuerdo,De acuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Se mantiene,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,De acuerdo,Muy en desacuerdo
23 - 26 años,Mujer,Estudio,Soltero,No,Mixta Matutina - Vespertina,5to año,Sí,En los examenes y proyectos finales,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,Muy de acuerdo,Muy de acuerdo,Aumenta,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo
19 - 22 años,Mujer,Estudio,Soltero,No,Mixta Matutina - Vespertina,3er año,Sí,En los examenes y proyectos finales,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Aumenta,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo
23 - 26 años,Hombre,Estudio,Soltero,No,Vespertina,ultimo año,Sí,En los examenes y proyectos finales,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Muy de acuerdo,Muy en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Disminuye,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,Muy en desacuerdo
19 - 22 años,Hombre,Estudio,Soltero,No,Mixta Matutina - Vespertina,5to año,Sí,En los examenes y proyectos finales,De acuerdo,De acuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Muy en desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Se mantiene,En desacuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,Muy en desacuerdo,Muy en desacuerdo,En desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo
19 - 22 años,Mujer,Estudio,Soltero,No,Mixta Matutina - Vespertina,3er año,Sí,En los examenes y proyectos finales,Muy de acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Se mantiene,Muy de acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Muy en desacuerdo,En desacuerdo,En desacuerdo
23 - 26 años,Mujer,Estudio,Soltero,No,Mixta Matutina - Vespertina,4to año,Sí,Al final de cada parcial,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Disminuye,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo
23 - 26 años,Hombre,Estudio,Soltero,No,Mixta Matutina - Vespertina,4to año,Sí,En los examenes y proyectos finales,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Aumenta,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Muy de acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo
19 - 22 años,Mujer,Estudio,Soltero,No,Mixta Vespertina - Nocturna,4to año,Sí,Al iniciar el periodo,De acuerdo,En desacuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Disminuye,Muy de acuerdo,Muy de acuerdo,Muy en desacuerdo,De acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,Muy de acuerdo
19 - 22 años,Hombre,Estudio,Soltero,No,Mixta Matutina - Vespertina,3er año,Sí,En los examenes y proyectos finales,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Muy de acuerdo,Disminuye,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo
23 - 26 años,Hombre,Estudio,Soltero,No,Mixta Vespertina - Nocturna,ultimo año,Sí,Al final de cada parcial,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,Muy en desacuerdo,En desacuerdo,De acuerdo,Se mantiene,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Muy en desacuerdo
23 - 26 años,Hombre,Estudio,Soltero,Sí,Mixta Vespertina - Nocturna,ultimo año,No,En los examenes y proyectos finales,Muy de acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Disminuye,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,Muy en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,Muy en desacuerdo
19 - 22 años,Mujer,Estudio,Soltero,No,Mixta Matutina - Vespertina,4to año,Sí,En los examenes y proyectos finales,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Muy de acuerdo,Muy de acuerdo,Disminuye,Muy de acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,En desacuerdo,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,En desacuerdo,Muy en desacuerdo
19 - 22 años,Mujer,Estudio,Soltero,No,Mixta Matutina - Vespertina,3er año,Sí,Al iniciar el periodo,En desacuerdo,En desacuerdo,Muy en desacuerdo,Muy en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Disminuye,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Muy en desacuerdo,De acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,Muy en desacuerdo
23 - 26 años,Mujer,Estudio,Soltero,No,Mixta Matutina - Vespertina,ultimo año,Sí,En los examenes y proyectos finales,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Aumenta,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,En desacuerdo,Muy en desacuerdo,Muy en desacuerdo,En desacuerdo,Muy en desacuerdo
23 - 26 años,Mujer,Estudio,Soltero,Sí,Mixta Matutina - Vespertina,ultimo año,Sí,En los examenes y proyectos finales,Muy de acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Se mantiene,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo
23 - 26 años,Hombre,Estudio,Soltero,Sí,Vespertina,ultimo año,No,En los examenes y proyectos finales,De acuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,De acuerdo,En desacuerdo,Se mantiene,De acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo
19 - 22 años,Mujer,Estudio,Soltero,No,Mixta Vespertina - Nocturna,5to año,Sí,Al final de cada parcial,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Muy en desacuerdo,En desacuerdo,Muy de acuerdo,Disminuye,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,En desacuerdo
27 - 30 años,Mujer,Estudio,Soltero,No,Matutina,4to año,Sí,Al iniciar el periodo,De acuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Disminuye,De acuerdo,De acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,De acuerdo,Ni de acuerdo ni en desacuerdo
menor de 18 años,Mujer,Estudio,Soltero,No,Mixta Matutina - Vespertina,1er año,Sí,En los examenes y proyectos finales,En desacuerdo,En desacuerdo,De acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Ni de acuerdo ni en desacuerdo,Se mantiene,Muy de acuerdo,Muy de acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Muy en desacuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,Muy en desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo
27 - 30 años,Hombre,Estudio,Soltero,No,Mixta Matutina - Vespertina,ultimo año,Sí,En los examenes y proyectos finales,Muy en desacuerdo,Muy en desacuerdo,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Muy en desacuerdo,De acuerdo,En desacuerdo,Disminuye,De acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo
19 - 22 años,Mujer,Estudio,Soltero,No,Matutina,2do año,Sí,Al final de cada parcial,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo,Muy de acuerdo,Muy de acuerdo,En desacuerdo,En desacuerdo,Muy de acuerdo,Se mantiene,De acuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Ni de acuerdo ni en desacuerdo,En desacuerdo,De acuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,En desacuerdo,Muy en desacuerdo
23 - 26 años,Hombre,Estudio,Soltero,No,Mixta Matutina - Vespertina,4to año,Sí,En los examenes y proyectos finales,En desacuerdo,Muy en desacuerdo,En desacuerdo,De acuerdo,Muy en desacuerdo,Muy en desacuerdo,Muy de acuerdo,Disminuye,Muy de acuerdo,De acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo,De acuerdo,Muy de acuerdo,Muy de acuerdo,Muy de acuerdo
